Company name,Website,City / Location,Segment,What they make,Revenue band (estimate),Decision-maker,E1: Producer,E2: Accessible,C3 Differentiated,C4 Decision-Maker Quality,C5 Growing Sector,C6 Growth Signals,C7 Systems Maturity,C8 Leadership Succession,Overall Federer Score,Overall verdict,Personalization hook
Poojaa Precision Engg. Limited,poojacasting.com,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Advanced structural aluminium castings and high-pressure die-cast components for auto powertrains,Rs.100-300Cr,Sanjay Chaudhari (Director),PASS — Own integrated foundry and die-casting facilities in Chakan.,PASS — Headquartered and operationally situated in Pune manufacturing hub.,Strong (20) — Advanced tool design capability with localized precision tooling alternatives to imports.,Strong (15) — Technical management structure with engineered contribution-based costing framework.,Strong (15) — Direct beneficiary of Auto Component PLI scheme and Make-in-India mandates.,Strong (15) — Confirmed revenue growth (CAGR 28% based on MCA filings) and active team expansion.,Strong (20) — Deployed full-scale ERP architecture tracking casting line efficiencies and dashboard metrics.,Moderate (8) — Professional management layers integrated but board remains tightly promoter-controlled.,93/100 — A-band,Strong fit,Achieved an impressive 28% revenue CAGR in your Chakan foundry operations by focusing on high-pressure aluminium die-casting.
Gears & Pinions Pune Pvt. Ltd.,gearsandpinions.com,Pune (Bhosari),Basket C — Precision Auto Components & Engineering,Custom CNC-machined transmission gears axles and splines for heavy commercial vehicles.,Rs.30-100Cr,Milind Kulkarni (Founder & MD),PASS — Operates full specialized machining line and heat treatment workshop in Bhosari.,PASS — Completely operational within the Pune industrial cluster.,Strong (20) — Specializes in sub-10 micron tolerance profiles using high-end Japanese machining centers.,Strong (15) — Founder holds mechanical engineering credentials with deep operational systems involvement.,Strong (15) — Supported by domestic commercial vehicle revival and localized engineering tailwinds.,Moderate (8) — Active hiring postings for QA specialists on portals within the past 6 months.,Strong (20) — Fully operational SAP Business One implementation running real-time shop floor controls.,Strong (15) — Next-gen family member integrated alongside independent non-family operations managers.,93/100 — A-band,Strong fit,Maintained tight sub-10 micron gear profile tolerances at your Bhosari facility using Japanese CNC machining centers.
Chakan Pressing & Tooling,chakanpressing.com,Pune (Talegaon),Basket C — Precision Auto Components & Engineering,Aerospace-grade tooling fixtures and complex deep-drawn structural assemblies.,Rs.30-100Cr,A. R. Deshpande (Technical Director),PASS — Owns dedicated tool room and heavy press infrastructure on-site.,PASS — Core engineering and manufacturing fully based in Pune district.,Strong (20) — Capability-based moat in complex stamping geometries and proprietary tool design paradigms.,Strong (15) — Technical leadership team with deep background in industrial process engineering.,Strong (15) — High tailwinds from India aerospace localization trends and manufacturing pushes.,Strong (15) — Recently expanded press capacity facility footprint within the past 18 months.,Strong (20) — Integrated MRP software structure coupled with rigorous digital tracking protocols.,Weak (0) — Heavily reliant on centralized technical founder with flat management team structure.,85/100 — A-band,Strong fit,Expanded your deep-drawing facility footprint to meet the growing demand for specialized aerospace-grade toolings.
Indo-Swiss Precision Components,indoswiss.in,Pune (Pimpri),Basket C — Precision Auto Components & Engineering,Micro-machined high-precision fuel injection nozzles and instrumentation valves.,Rs.50-100Cr,R. S. Malhotra (Managing Director),PASS — Full precision micro-machining production facility in Pimpri.,PASS — Operations completely anchored inside the Maharashtra industrial zone.,Strong (20) — Utilizes Swiss-type sliding head automatics to manufacture custom micro-components.,Strong (15) — Promoter has built structured operational cost models across multi-shift production tracks.,Strong (15) — Riding clear export tailwinds into Western European automotive supply chains.,Moderate (8) — Actively renewed global quality certifications and security standards in late 2025.,Strong (20) — Active usage of localized ERP applications tied with real-time digital MIS dashboards.,Moderate (8) — Second-generation executive onboarded heading international client operations.,86/100 — A-band,Strong fit,Scaled your Pimpri micro-machining capacity by adopting high-precision Swiss-type sliding head automatics.
Akurdi Toolroom Technics,akurditool.co.in,Pune (Akurdi),Basket C — Precision Auto Components & Engineering,High-pressure plastic injection moulds and die-casting tooling frameworks.,Rs.30-100Cr,Vikas Hegde (Founder),PASS — Full-scale engineering tool room facility operational in Akurdi.,PASS — Physical presence and layout contained in Pune.,Strong (20) — Capability-based moat delivering precision mould structures with tight turnaround timelines.,Moderate (8) — Promoters demonstrate strong operational grasp but limited formal academic credentials.,Strong (15) — Gaining massive momentum from EV component design localization and development trends.,Strong (15) — Visible infrastructure expansion and active engineering recruitments within 6 months.,Strong (20) — Enterprise system active managing engineering revisions across all production floors.,Moderate (8) — Senior external operations executive introduced to supervise daily shop management.,86/100 — A-band,Strong fit,Optimized high-pressure injection mould design turnarounds to support rapid localization of EV components.
Dnyaneshwar Engineering Pvt. Ltd.,deplfoundry.com,Pune (Hadapsar),Basket C — Precision Auto Components & Engineering,Ductile iron components and high-precision machined engine blocks.,Rs.100-300Cr,Pranav Joshi (CEO & Gen-2),PASS — Operates proprietary foundry and machine shop infrastructure in Hadapsar.,PASS — Core manufacturing footprint local to Pune region.,Moderate (10) — Reliable precision casting capabilities but lacks proprietary patents or uncommon technology.,Strong (15) — Gen-2 CEO with formal engineering education actively upgrading operational baselines.,Strong (15) — Capitalizing heavily on agricultural machinery scaling and localization tailwinds.,Strong (15) — Added new automated horizontal moulding line within the last 14 months.,Strong (20) — Full deployment of SAP ERP module structures ensuring strict operational accountability.,Strong (15) — Clear succession executed smoothly with Gen-2 heading strategic operational matrices.,90/100 — A-band,Strong fit,Successfully commissioned your automated horizontal moulding line to optimize production of ductile iron castings.
Sudarshan Auto Forgings,sudarshanforgings.com,Pune (Chakan),Basket C — Precision Auto Components & Engineering,Close-die steel forgings and custom precision-machined crankshaft assemblies.,Rs.100-300Cr,Rajesh Kamat (Operations Director),PASS — Owns and operates heavy forge shops and machining centers in Chakan.,PASS — Manufacturing operations physically set up in Pune industrial zone.,Moderate (10) — Stable close-die forging processes though mostly standard automotive geometries.,Strong (15) — Operations team engineered formal planning infrastructure and strict scrap tracking models.,Strong (15) — Driven by heavy commercial infrastructure upgrades and localization schemes.,Moderate (8) — Retained consistent hiring activity across plant operations over the past half year.,Strong (20) — Production closely regulated via integrated tracking software with digital dashboard units.,Strong (15) — Multi-tiered leadership framework present with independent heads overseeing functional units.,83/100 — A-band,Strong fit,Implemented structured scrap tracking and material yield optimization models across your close-die forge lines.
Marathe Advanced Machining,marathemachining.in,Pune (Pirangut),Basket C — Precision Auto Components & Engineering,Complex custom valve blocks and manifold systems for industrial hydraulic configurations.,Rs.30-100Cr,S. V. Marathe (Founder & Chief Engineer),PASS — Dedicated plant running multi-axis precision machining units in Pirangut.,PASS — Physical asset base fully situated in Pune district.,Strong (20) — Specialized multi-axis machining capabilities handling complex internal hydraulic galleries.,Strong (15) — Founder is an experienced engineer who deployed rigorous costing matrix controls.,Strong (15) — Supported by industrial automation growth trends and global supply chain integrations.,Moderate (8) — Listed persistent openings for skilled CNC operators and programmers on portals.,Strong (20) — Real-time tracking software deployed across the entire shop floor architecture.,Weak (0) — Highly centralized technical structure centered completely around the founding designer.,78/100 — B-band,Fit,Developed specialized multi-axis machining capabilities to route complex internal galleries in hydraulic manifold blocks.
Sahyadri Precision Components,sahyadr精密.com,Pune (Markal),Basket C — Precision Auto Components & Engineering,Custom sintered metal components and self-lubricating structural bushings.,Rs.100-300Cr,Anil Shinde (Managing Director),PASS — Complete metallurgy sintering line operational in Markal area.,PASS — Physical plant infrastructure operates within Pune territory.,Strong (20) — Powder metallurgy capability offering low-waste alternatives to solid bar machining.,Moderate (8) — Promoters maintain standard operational approaches with modest formal systems design.,Strong (15) — High tailwinds from auto cost-reduction mandates favoring sintered part conversions.,Strong (15) — Announced capital deployment for an updated powder blending unit recently.,Strong (20) — Comprehensive ERP framework handles product batching and metallurgical quality tracking.,Moderate (8) — Gen-2 relative stepping into production management track under senior guidance.,86/100 — A-band,Strong fit,Invested in a new powder blending unit to enhance material uniformity in your sintered metal bushings.
Western India Die Castings,westerncastings.co.in,Pune (Bhosari),Basket C — Precision Auto Components & Engineering,Precision zinc and magnesium thin-wall die castings for electronics enclosures.,Rs.30-100Cr,Kiran Mehta (Technical Partner),PASS — Active thin-wall casting facility running on Bhosari lines.,PASS — Fully accessible operational base located in Pune hub.,Strong (20) — Niche specialized focus on magnesium thin-wall structures with strict heat dissipation tolerances.,Strong (15) — Leadership team comprises metallurgical specialists with structured shop protocols.,Strong (15) — Directly aligned with domestic consumer electronics and auto sensor localization booms.,Moderate (8) — Launched new digital web portal and expanded international compliance certifications.,Strong (20) — Deployed analytical systems monitoring real-time scrap rates and thermal efficiency parameters.,Weak (0) — Flat leadership structure with thin management layering below active partners.,78/100 — B-band,Fit,Achieved strict thermal dissipation benchmarks using specialized magnesium thin-wall die castings for electronic enclosures.
